x,tb,bb,cb,sb,db,ub,g,u,d,s,c,b, t                   
    1.5170345615E-03,    0.0000000000E+00,    3.1680269246E+02,    4.5985441790E+02,    5.3911090455E+02,    6.6199931916E+02,    6.5399120949E+02,    1.5573434685E+04,    7.2036324441E+02,    6.9275344717E+02,    5.3911090455E+02,    4.5985441790E+02,    3.1680269246E+02,   0.0000000000000000     
    1.5489779975E-03,    0.0000000000E+00,    3.0701096118E+02,    4.4616845107E+02,    5.2349088566E+02,    6.4343506786E+02,    6.3551332819E+02,    1.5086757403E+04,    7.0103463439E+02,    6.7396327213E+02,    5.2349088566E+02,    4.4616845107E+02,    3.0701096118E+02,   0.0000000000000000     
    1.5815940505E-03,    0.0000000000E+00,    2.9763880892E+02,    4.3304675109E+02,    5.0849920047E+02,    6.2559558043E+02,    6.1775956716E+02,    1.4621348692E+04,    6.8244519606E+02,    6.5589937510E+02,    5.0849920047E+02,    4.3304675109E+02,    2.9763880892E+02,   0.0000000000000000     
    1.6148968834E-03,    0.0000000000E+00,    2.8867102175E+02,    4.2046939622E+02,    4.9411402382E+02,    6.0845617406E+02,    6.0070524779E+02,    1.4176417088E+04,    6.6456998232E+02,    6.3853705860E+02,    4.9411402382E+02,    4.2046939622E+02,    2.8867102175E+02,   0.0000000000000000     
    1.6489009573E-03,    0.0000000000E+00,    2.8008777271E+02,    4.0841030005E+02,    4.8030668987E+02,    5.9198430682E+02,    5.8431784105E+02,    1.3750935252E+04,    6.4737603687E+02,    6.2184374352E+02,    4.8030668987E+02,    4.0841030005E+02,    2.8008777271E+02,   0.0000000000000000     
    1.6836210379E-03,    0.0000000000E+00,    2.7144101712E+02,    3.9627149101E+02,    4.6641420649E+02,    5.7541903592E+02,    5.6783724288E+02,    1.3321931094E+04,    6.3008811743E+02,    6.0505629744E+02,    4.6641420649E+02,    3.9627149101E+02,    2.7144101712E+02,   0.0000000000000000     
    1.7190722019E-03,    0.0000000000E+00,    2.6260176492E+02,    3.8388108167E+02,    4.5224617790E+02,    5.5854209059E+02,    5.5104540602E+02,    1.2882784283E+04,    6.1248399498E+02,    5.8795586417E+02,    4.5224617790E+02,    3.8388108167E+02,    2.6260176492E+02,   0.0000000000000000     
    1.7552698432E-03,    0.0000000000E+00,    2.5405801188E+02,    3.7189114885E+02,    4.3852612213E+02,    5.4218463281E+02,    5.3477252630E+02,    1.2458494846E+04,    5.9541087234E+02,    5.7137612190E+02,    4.3852612213E+02,    3.7189114885E+02,    2.5405801188E+02,   0.0000000000000000     
    1.7922296801E-03,    0.0000000000E+00,    2.4581353478E+02,    3.6030708697E+02,    4.2526026164E+02,    5.2635414210E+02,    5.1902605135E+02,    1.2049248499E+04,    5.7887656477E+02,    5.5532463141E+02,    4.2526026164E+02,    3.6030708697E+02,    2.4581353478E+02,   0.0000000000000000     
    1.8299677618E-03,    0.0000000000E+00,    2.3787060592E+02,    3.4913226306E+02,    4.1245255740E+02,    5.1105548338E+02,    5.0381081769E+02,    1.1655155086E+04,    5.6288621640E+02,    5.3980633042E+02,    4.1245255740E+02,    3.4913226306E+02,    2.3787060592E+02,   0.0000000000000000     
    1.8685004753E-03,    0.0000000000E+00,    2.3022979858E+02,    3.3836775325E+02,    4.0010441392E+02,    4.9629056470E+02,    4.8912870898E+02,    1.1276238784E+04,    5.4744194960E+02,    5.2482318976E+02,    4.0010441392E+02,    3.3836775325E+02,    2.3022979858E+02,   0.0000000000000000     
    1.9078445529E-03,    0.0000000000E+00,    2.2288977526E+02,    3.2801205585E+02,    3.8821435818E+02,    4.8205796442E+02,    4.7497828397E+02,    1.0912427456E+04,    5.3254248328E+02,    5.1037383913E+02,    3.8821435818E+02,    3.2801205585E+02,    2.2288977526E+02,   0.0000000000000000     
    1.9480170790E-03,    0.0000000000E+00,    2.1584705741E+02,    3.1806077936E+02,    3.7677769044E+02,    4.6835252593E+02,    4.6135437172E+02,    1.0563541056E+04,    5.1818271760E+02,    4.9645315997E+02,    3.7677769044E+02,    3.1806077936E+02,    2.1584705741E+02,   0.0000000000000000     
    1.9890354978E-03,    0.0000000000E+00,    2.0909577533E+02,    3.0850630344E+02,    3.6578610470E+02,    4.5516491700E+02,    4.4824763187E+02,    1.0229279051E+04,    5.0435328276E+02,    4.8305184304E+02,    3.6578610470E+02,    3.0850630344E+02,    2.0909577533E+02,   0.0000000000000000     
    2.0309176209E-03,    0.0000000000E+00,    2.0262739653E+02,    2.9933741084E+02,    3.5522727668E+02,    4.4248115135E+02,    4.3564407694E+02,    9.9092067481E+03,    4.9104004884E+02,    4.7015590793E+02,    3.5522727668E+02,    2.9933741084E+02,    2.0262739653E+02,   0.0000000000000000     
    2.0736816349E-03,    0.0000000000E+00,    1.9643043115E+02,    2.9053888800E+02,    3.4508441672E+02,    4.3028206954E+02,    4.2352455413E+02,    9.6027404800E+03,    4.7822359404E+02,    4.5774618168E+02,    3.4508441672E+02,    2.9053888800E+02,    1.9643043115E+02,   0.0000000000000000     
