x,tb,bb,cb,sb,db,ub,g,u,d,s,c,b, t                   
    1.0000000000E-03,    0.0000000000E+00,    0.0000000000E+00,    9.4694778140E+01,    2.3865157210E+02,    4.5808306672E+02,    4.5109102359E+02,    7.8238786856E+03,    5.1636736790E+02,    4.7763060831E+02,    2.3865157210E+02,    9.4694778140E+01,    0.0000000000E+00,   0.0000000000000000     
    1.0210564986E-03,    0.0000000000E+00,    0.0000000000E+00,    9.2409508003E+01,    2.3300261525E+02,    4.4736594303E+02,    4.4041897818E+02,    7.6271888108E+03,    5.0486084776E+02,    4.6682536299E+02,    2.3300261525E+02,    9.2409508003E+01,    0.0000000000E+00,   0.0000000000000000     
    1.0425563733E-03,    0.0000000000E+00,    0.0000000000E+00,    9.0028054121E+01,    2.2712248905E+02,    4.3621486180E+02,    4.2931365246E+02,    7.4216926612E+03,    4.9290365336E+02,    4.5558502246E+02,    2.2712248905E+02,    9.0028054121E+01,    0.0000000000E+00,   0.0000000000000000     
    1.0645089600E-03,    0.0000000000E+00,    0.0000000000E+00,    8.7694313869E+01,    2.2135816868E+02,    4.2528172272E+02,    4.1842628333E+02,    7.2205066630E+03,    4.8117387227E+02,    4.4456271155E+02,    2.2135816868E+02,    8.7694313869E+01,    0.0000000000E+00,   0.0000000000000000     
    1.0869237914E-03,    0.0000000000E+00,    0.0000000000E+00,    8.5426033449E+01,    2.1575250727E+02,    4.1464708074E+02,    4.0783733839E+02,    7.0252431352E+03,    4.6975542313E+02,    4.3383914921E+02,    2.1575250727E+02,    8.5426033449E+01,    0.0000000000E+00,   0.0000000000000000     
    1.1098106007E-03,    0.0000000000E+00,    0.0000000000E+00,    8.3224230111E+01,    2.1030802569E+02,    4.0431571830E+02,    3.9755158905E+02,    6.8359889327E+03,    4.5865341974E+02,    4.2341914070E+02,    2.1030802569E+02,    8.3224230111E+01,    0.0000000000E+00,   0.0000000000000000     
    1.1331793260E-03,    0.0000000000E+00,    0.0000000000E+00,    8.1089589254E+01,    2.0502644134E+02,    3.9429090619E+02,    3.8757229666E+02,    6.6528007979E+03,    4.4787139652E+02,    4.1330597613E+02,    2.0502644134E+02,    8.1089589254E+01,    0.0000000000E+00,   0.0000000000000000     
    1.1570401148E-03,    0.0000000000E+00,    0.0000000000E+00,    7.9022420606E+01,    1.9990856175E+02,    3.8457420320E+02,    3.7790101243E+02,    6.4757014113E+03,    4.3741109850E+02,    4.0350122959E+02,    1.9990856175E+02,    7.9022420606E+01,    0.0000000000E+00,   0.0000000000000000     
    1.1814033283E-03,    0.0000000000E+00,    0.0000000000E+00,    7.7022610513E+01,    1.9495416879E+02,    3.7516523797E+02,    3.6853735957E+02,    6.3046750907E+03,    4.2727225276E+02,    3.9400454038E+02,    1.9495416879E+02,    7.7022610513E+01,    0.0000000000E+00,   0.0000000000000000     
    1.2062795458E-03,    0.0000000000E+00,    0.0000000000E+00,    7.5089570022E+01,    1.9016189257E+02,    3.6606147163E+02,    3.5947879619E+02,    6.1396631134E+03,    4.1745231962E+02,    3.8481337499E+02,    1.9016189257E+02,    7.5089570022E+01,    0.0000000000E+00,   0.0000000000000000     
    1.2316795693E-03,    0.0000000000E+00,    0.0000000000E+00,    7.3222178458E+01,    1.8552907449E+02,    3.5725793973E+02,    3.5072035763E+02,    5.9805586324E+03,    4.0794622216E+02,    3.7592276837E+02,    1.8552907449E+02,    7.3222178458E+01,    0.0000000000E+00,   0.0000000000000000     
    1.2576144284E-03,    0.0000000000E+00,    0.0000000000E+00,    7.1418722133E+01,    1.8105161837E+02,    3.4874697201E+02,    3.4225437650E+02,    5.8272011550E+03,    3.9874605247E+02,    3.6732504283E+02,    1.8105161837E+02,    7.1418722133E+01,    0.0000000000E+00,   0.0000000000000000     
    1.2840953848E-03,    0.0000000000E+00,    0.0000000000E+00,    6.9676827837E+01,    1.7672382899E+02,    3.4051788812E+02,    3.3407017890E+02,    5.6793705519E+03,    3.8984075274E+02,    3.5900950300E+02,    1.7672382899E+02,    6.9676827837E+01,    0.0000000000E+00,   0.0000000000000000     
    1.3111339374E-03,    0.0000000000E+00,    0.0000000000E+00,    6.7970922861E+01,    1.7248375107E+02,    3.3245410112E+02,    3.2605131505E+02,    5.5347507353E+03,    3.8110836422E+02,    3.5085926478E+02,    1.7248375107E+02,    6.7970922861E+01,    0.0000000000E+00,   0.0000000000000000     
    1.3387418273E-03,    0.0000000000E+00,    0.0000000000E+00,    6.6204385257E+01,    1.6809713062E+02,    3.2411468079E+02,    3.1775739252E+02,    5.3846067664E+03,    3.7208728533E+02,    3.4243223574E+02,    1.6809713062E+02,    6.6204385257E+01,    0.0000000000E+00,   0.0000000000000000     
    1.3669310426E-03,    0.0000000000E+00,    0.0000000000E+00,    6.4486165862E+01,    1.6382823904E+02,    3.1599714352E+02,    3.0968530575E+02,    5.2387758996E+03,    3.6329863308E+02,    3.3422727400E+02,    1.6382823904E+02,    6.4486165862E+01,    0.0000000000E+00,   0.0000000000000000     
    1.3957138242E-03,    0.0000000000E+00,    0.0000000000E+00,    6.2817149766E+01,    1.5967928120E+02,    3.0810567884E+02,    3.0183923187E+02,    5.0973323886E+03,    3.5474692528E+02,    3.2624859491E+02,    1.5967928120E+02,    6.2817149766E+01,    0.0000000000E+00,   0.0000000000000000     
    1.4251026703E-03,    0.0000000000E+00,    0.0000000000E+00,    6.1197991770E+01,    1.5565190229E+02,    3.0044342164E+02,    2.9422229464E+02,    4.9603297576E+03,    3.4643557508E+02,    3.1849935646E+02,    1.5565190229E+02,    6.1197991770E+01,    0.0000000000E+00,   0.0000000000000000     
    1.4551103426E-03,    0.0000000000E+00,    0.0000000000E+00,    5.9629085243E+01,    1.5174711189E+02,    2.9301230893E+02,    2.8683642143E+02,    4.8277980227E+03,    3.3836674021E+02,    3.1098151567E+02,    1.5174711189E+02,    5.9629085243E+01,    0.0000000000E+00,   0.0000000000000000     
    1.4857498715E-03,    0.0000000000E+00,    0.0000000000E+00,    5.8110528199E+01,    1.4796520125E+02,    2.8581292375E+02,    2.7968218740E+02,    4.6997406668E+03,    3.3054115881E+02,    3.0369567191E+02,    1.4796520125E+02,    5.8110528199E+01,    0.0000000000E+00,   0.0000000000000000     
    1.5170345615E-03,    0.0000000000E+00,    0.0000000000E+00,    5.6642086374E+01,    1.4430565320E+02,    2.7884432527E+02,    2.7275864584E+02,    4.5761313463E+03,    3.2295797067E+02,    2.9664089648E+02,    1.4430565320E+02,    5.6642086374E+01,    0.0000000000E+00,   0.0000000000000000     
    1.5489779975E-03,    0.0000000000E+00,    0.0000000000E+00,    5.5223153063E+01,    1.4076704426E+02,    2.7210386399E+02,    2.6606314370E+02,    4.4569103109E+03,    3.1561452272E+02,    2.8981454723E+02,    1.4076704426E+02,    5.5223153063E+01,    0.0000000000E+00,   0.0000000000000000     
    1.5815940505E-03,    0.0000000000E+00,    0.0000000000E+00,    5.3852705490E+01,    1.3734693814E+02,    2.6558698092E+02,    2.5959112102E+02,    4.3419805136E+03,    3.0850615775E+02,    2.8321206703E+02,    1.3734693814E+02,    5.3852705490E+01,    0.0000000000E+00,   0.0000000000000000     
    1.6148968834E-03,    0.0000000000E+00,    0.0000000000E+00,    5.2529257425E+01,    1.3404177026E+02,    2.5928698953E+02,    2.5333589332E+02,    4.2312033883E+03,    3.0162598485E+02,    2.7682676504E+02,    1.3404177026E+02,    5.2529257425E+01,    0.0000000000E+00,   0.0000000000000000     
    1.6489009573E-03,    0.0000000000E+00,    0.0000000000E+00,    5.1250807786E+01,    1.3084672226E+02,    2.5319483914E+02,    2.4728841530E+02,    4.1243942689E+03,    2.9496463043E+02,    2.7064957929E+02,    1.3084672226E+02,    5.1250807786E+01,    0.0000000000E+00,   0.0000000000000000     
    1.6836210379E-03,    0.0000000000E+00,    0.0000000000E+00,    4.9967770973E+01,    1.2764122477E+02,    2.4708325308E+02,    2.4122174190E+02,    4.0171016095E+03,    2.8828349450E+02,    2.6445254654E+02,    1.2764122477E+02,    4.9967770973E+01,    0.0000000000E+00,   0.0000000000000000     
    1.7190722019E-03,    0.0000000000E+00,    0.0000000000E+00,    4.8666008026E+01,    1.2439093016E+02,    2.4088750746E+02,    2.3507123763E+02,    3.9080525564E+03,    2.8151472328E+02,    2.5817075976E+02,    1.2439093016E+02,    4.8666008026E+01,    0.0000000000E+00,   0.0000000000000000     
    1.7552698432E-03,    0.0000000000E+00,    0.0000000000E+00,    4.7399929508E+01,    1.2122823479E+02,    2.3485723940E+02,    2.2908615770E+02,    3.8021213755E+03,    2.7492066917E+02,    2.5205464625E+02,    1.2122823479E+02,    4.7399929508E+01,    0.0000000000E+00,   0.0000000000000000     
    1.7922296801E-03,    0.0000000000E+00,    0.0000000000E+00,    4.6170134485E+01,    1.1815463541E+02,    2.2899529965E+02,    2.2326934004E+02,    3.6993571872E+03,    2.6850445593E+02,    2.4610708299E+02,    1.1815463541E+02,    4.6170134485E+01,    0.0000000000E+00,   0.0000000000000000     
    1.8299677618E-03,    0.0000000000E+00,    0.0000000000E+00,    4.4977045116E+01,    1.1517119469E+02,    2.2330371870E+02,    2.1762280358E+02,    3.5997935129E+03,    2.6226834276E+02,    2.4033012413E+02,    1.1517119469E+02,    4.4977045116E+01,    0.0000000000E+00,   0.0000000000000000     
    1.8685004753E-03,    0.0000000000E+00,    0.0000000000E+00,    4.3820883054E+01,    1.1227848318E+02,    2.1778359704E+02,    2.1214763868E+02,    3.5034462116E+03,    2.5621360798E+02,    2.3472489077E+02,    1.1227848318E+02,    4.3820883054E+01,    0.0000000000E+00,   0.0000000000000000     
    1.9078445529E-03,    0.0000000000E+00,    0.0000000000E+00,    4.2701643745E+01,    1.0947651608E+02,    2.1243498553E+02,    2.0684388779E+02,    3.4103112323E+03,    2.5034042236E+02,    2.2929145085E+02,    1.0947651608E+02,    4.2701643745E+01,    0.0000000000E+00,   0.0000000000000000     
    1.9480170790E-03,    0.0000000000E+00,    0.0000000000E+00,    4.1619068459E+01,    1.0676468449E+02,    2.0725675534E+02,    2.0171041562E+02,    3.3203621688E+03,    2.4464771123E+02,    2.2402868851E+02,    1.0676468449E+02,    4.1619068459E+01,    0.0000000000E+00,   0.0000000000000000     
    1.9890354978E-03,    0.0000000000E+00,    0.0000000000E+00,    4.0572613883E+01,    1.0414168055E+02,    2.0224645637E+02,    1.9674476789E+02,    3.2335476014E+03,    2.3913300453E+02,    2.1893416200E+02,    1.0414168055E+02,    4.0572613883E+01,    0.0000000000E+00,   0.0000000000000000     
    2.0309176209E-03,    0.0000000000E+00,    0.0000000000E+00,    3.9561419086E+01,    1.0160541624E+02,    1.9740016362E+02,    1.9194301796E+02,    3.1497882103E+03,    2.3379227392E+02,    2.1400394930E+02,    1.0160541624E+02,    3.9561419086E+01,    0.0000000000E+00,   0.0000000000000000     
    2.0736816349E-03,    0.0000000000E+00,    0.0000000000E+00,    3.8584269661E+01,    9.9152935141E+01,    1.9271231024E+02,    1.8729960027E+02,    3.0689736421E+03,    2.2861975592E+02,    2.0923248058E+02,    9.9152935141E+01,    3.8584269661E+01,    0.0000000000E+00,   0.0000000000000000     
    2.1173461092E-03,    0.0000000000E+00,    0.0000000000E+00,    3.7639558830E+01,    9.6780316753E+01,    1.8817550658E+02,    1.8280712973E+02,    2.9909591112E+03,    2.2360775999E+02,    2.0461235633E+02,    9.6780316753E+01,    3.7639558830E+01,    0.0000000000E+00,   0.0000000000000000     
    2.1619300045E-03,    0.0000000000E+00,    0.0000000000E+00,    3.6665717488E+01,    9.4336520723E+01,    1.8350438894E+02,    1.7818066713E+02,    2.9103030389E+03,    2.1845573461E+02,    1.9985734105E+02,    9.4336520723E+01,    3.6665717488E+01,    0.0000000000E+00,   0.0000000000000000     
    2.2074526805E-03,    0.0000000000E+00,    0.0000000000E+00,    3.5700848107E+01,    9.1915049957E+01,    1.7887563887E+02,    1.7359662238E+02,    2.8303691382E+03,    2.1334989598E+02,    1.9514467335E+02,    9.1915049957E+01,    3.5700848107E+01,    0.0000000000E+00,   0.0000000000000000     
    2.2539339047E-03,    0.0000000000E+00,    0.0000000000E+00,    3.4762346595E+01,    8.9558601266E+01,    1.7436994133E+02,    1.6913555451E+02,    2.7526922725E+03,    2.0837531439E+02,    1.9055529616E+02,    8.9558601266E+01,    3.4762346595E+01,    0.0000000000E+00,   0.0000000000000000     
    2.3013938608E-03,    0.0000000000E+00,    0.0000000000E+00,    3.3850687110E+01,    8.7268351090E+01,    1.6998952904E+02,    1.6479968970E+02,    2.6773128613E+03,    2.0353439607E+02,    1.8609145502E+02,    8.7268351090E+01,    3.3850687110E+01,    0.0000000000E+00,   0.0000000000000000     
    2.3498531573E-03,    0.0000000000E+00,    0.0000000000E+00,    3.2966216954E+01,    8.5045161537E+01,    1.6573603796E+02,    1.6059065950E+02,    2.6042605974E+03,    1.9882890411E+02,    1.8175479438E+02,    8.5045161537E+01,    3.2966216954E+01,    0.0000000000E+00,   0.0000000000000000     
    2.3993328369E-03,    0.0000000000E+00,    0.0000000000E+00,    3.2109139476E+01,    8.2889537975E+01,    1.6161042687E+02,    1.5650942066E+02,    2.5335530010E+03,    1.9425987169E+02,    1.7754627641E+02,    8.2889537975E+01,    3.2109139476E+01,    0.0000000000E+00,   0.0000000000000000     
    2.4498543853E-03,    0.0000000000E+00,    0.0000000000E+00,    3.1279495439E+01,    8.0801582854E+01,    1.5761288956E+02,    1.5255616776E+02,    2.4651938450E+03,    1.8982750744E+02,    1.7346609268E+02,    8.0801582854E+01,    3.1279495439E+01,    0.0000000000E+00,   0.0000000000000000     
    2.5014397406E-03,    0.0000000000E+00,    0.0000000000E+00,    3.0477142745E+01,    7.8780945426E+01,    1.5374275943E+02,    1.4873023806E+02,    2.3991714399E+03,    1.8553109242E+02,    1.6951356795E+02,    7.8780945426E+01,    3.0477142745E+01,    0.0000000000E+00,   0.0000000000000000     
    2.5541113029E-03,    0.0000000000E+00,    0.0000000000E+00,    2.9701734392E+01,    7.6826767076E+01,    1.4999840568E+02,    1.4503000810E+02,    2.3354567700E+03,    1.8136886822E+02,    1.6568705555E+02,    7.6826767076E+01,    2.9701734392E+01,    0.0000000000E+00,   0.0000000000000000     
    2.6078919439E-03,    0.0000000000E+00,    0.0000000000E+00,    2.8952694508E+01,    7.4937621919E+01,    1.4637712045E+02,    1.4145278134E+02,    2.2740014673E+03,    1.7733791517E+02,    1.6198382372E+02,    7.4937621919E+01,    2.8952694508E+01,    0.0000000000E+00,   0.0000000000000000     
    2.6628050169E-03,    0.0000000000E+00,    0.0000000000E+00,    2.8229192348E+01,    7.3111452304E+01,    1.4287499643E+02,    1.3799466612E+02,    2.2147356126E+03,    1.7343402029E+02,    1.5839993220E+02,    7.3111452304E+01,    2.8229192348E+01,    0.0000000000E+00,   0.0000000000000000     
    2.7188743669E-03,    0.0000000000E+00,    0.0000000000E+00,    2.7522884705E+01,    7.1327520644E+01,    1.3945261026E+02,    1.3461640946E+02,    2.1569584672E+03,    1.6961447288E+02,    1.5489561156E+02,    7.1327520644E+01,    2.7522884705E+01,    0.0000000000E+00,   0.0000000000000000     
    2.7761243411E-03,    0.0000000000E+00,    0.0000000000E+00,    2.6796532593E+01,    6.9493233010E+01,    1.3593391343E+02,    1.3114273093E+02,    2.0975433947E+03,    1.6568844543E+02,    1.5129325755E+02,    6.9493233010E+01,    2.6796532593E+01,    0.0000000000E+00,   0.0000000000000000     
    2.8345797993E-03,    0.0000000000E+00,    0.0000000000E+00,    2.6090929652E+01,    6.7710051909E+01,    1.3251183763E+02,    1.2776571211E+02,    2.0399141326E+03,    1.6186515843E+02,    1.4778752039E+02,    6.7710051909E+01,    2.6090929652E+01,    0.0000000000E+00,   0.0000000000000000     
    2.8942661247E-03,    0.0000000000E+00,    0.0000000000E+00,    2.5406418677E+01,    6.5978848525E+01,    1.2918805327E+02,    1.2448701029E+02,    1.9840984682E+03,    1.5814648222E+02,    1.4438009524E+02,    6.5978848525E+01,    2.5406418677E+01,    0.0000000000E+00,   0.0000000000000000     
    2.9552092352E-03,    0.0000000000E+00,    0.0000000000E+00,    2.4743240654E+01,    6.4300244111E+01,    1.2596375828E+02,    1.2130781097E+02,    1.9301153862E+03,    1.5453378612E+02,    1.4107220314E+02,    6.4300244111E+01,    2.4743240654E+01,    0.0000000000E+00,   0.0000000000000000     
